Waypoint Name,Waypoint Index,Time (UTC),Latitude,Longitude,TWD97:X,TWD97:Y,Elevation (m),Description,Comment,Symbol,Elevation (Calibrated) (m),Harversine Distance to Next (m),Terrain Distance to Next (m)
南鹿東0.0K,0,2024-08-11 09:04:09,23.456660,120.954850,245387,2594853,3691.000000,圓C-1-2/C-1型 方向牌,圓C-1-2/C-1型 方向牌,Milestone,3691.239990,110,112
南鹿東0.1K,1,2016-04-25 21:13:33,23.455694,120.955077,245410,2594746,3671.000000,,,Milestone,3670.949951,119,120
南鹿東0.2K,2,2024-08-11 09:04:09,23.454723,120.955569,245461,2594638,3687.000000,南D-8-1/公告及警告牌,南D-8-1/公告及警告牌,Milestone,3686.610107,84,84
南鹿東0.3K,3,2016-04-25 21:17:12,23.453971,120.955628,245467,2594555,3684.000000,,,Milestone,3683.500000,84,84
南鹿東0.4K,4,2016-04-25 21:19:08,23.453244,120.955389,245442,2594474,3687.000000,,,Milestone,3686.689941,82,82
南鹿東0.5K,5,2024-08-11 09:04:09,23.452530,120.955170,245420,2594395,3688.000000,南C-3-1/C-3型 里程柱,南C-3-1/C-3型 里程柱,Milestone,3688.209961,86,86
南鹿東0.6K,6,2016-04-25 21:22:17,23.451755,120.955238,245427,2594309,3689.000000,,,Milestone,3689.250000,85,88
南鹿東0.7K,7,2016-04-25 21:24:17,23.450990,120.955275,245431,2594225,3712.000000,,,Milestone,3712.459961,77,80
南鹿東0.8K,8,2024-08-11 09:04:09,23.450298,120.955266,245430,2594148,3733.000000,南C-1-1/C-1型 方向牌,南C-1-1/C-1型 方向牌,Milestone,3733.030029,85,96
鹿東0.9K,9,2024-08-11 09:04:09,23.449531,120.955320,245435,2594063,3776.000000,,,Milestone,3776.489990,93,97
鹿東1.0K,10,2024-08-11 09:04:09,23.448699,120.955240,245427,2593971,3805.000000,南C-2-1/C-1型 方向牌,南C-2-1/C-1型 方向牌,Milestone,3804.719971,101,101
鹿東1.1K,11,2024-08-11 09:04:09,23.447986,120.955857,245490,2593892,3807.000000,南F-1-2/F-1型 指引標誌,南F-1-2/F-1型 指引標誌,Milestone,3806.500000,117,121
鹿東1.2K,12,2024-08-11 09:04:09,23.447557,120.956900,245596,2593844,3775.000000,南F-1-3/F-1型 指引標誌,南F-1-3/F-1型 指引標誌,Milestone,3774.610107,74,76
鹿東1.3K,13,2024-08-11 09:04:09,23.447086,120.957413,245649,2593792,3790.000000,,,Milestone,3789.830078,66,72
鹿東1.4K,14,2024-08-11 09:04:09,23.446539,120.957659,245674,2593732,3818.000000,南C-2-2/C-3型 里程柱,南C-2-2/C-3型 里程柱,Milestone,3817.820068,117,120
鹿東1.5K,15,2024-08-11 09:04:09,23.445726,120.958393,245749,2593642,3795.000000,南C-1-3/C-1型 方向牌,南C-1-3/C-1型 方向牌,Milestone,3794.570068,93,100
東1.6K,16,2024-08-11 09:04:09,23.444912,120.958619,245772,2593552,3759.000000,,,Milestone,3759.100098,104,105
東1.7K,17,2024-08-11 09:04:09,23.444029,120.958940,245805,2593454,3742.000000,,,Milestone,3742.169922,91,92
東1.8K,18,2024-08-11 09:04:09,23.443228,120.959116,245823,2593365,3728.000000,,,Milestone,3727.709961,103,103
東1.9K,19,2024-08-11 09:04:09,23.442333,120.959377,245849,2593266,3728.000000,,,Milestone,3727.969971,115,118
東2.0K,20,2024-08-11 09:04:09,23.441389,120.959843,245897,2593161,3752.000000,東南C-3-1/C-3型 里程柱,東南C-3-1/C-3型 里程柱,Milestone,3751.969971,120,123
東2.1K,21,2024-08-11 09:04:09,23.440362,120.960191,245932,2593048,3722.000000,,,Milestone,3722.229980,137,137
東2.2K,22,2024-08-11 09:04:09,23.439329,120.960917,246007,2592933,3718.000000,,,Milestone,3717.590088,138,140
東2.3K/支0.0K,23,2024-08-11 09:04:09,23.439198,120.962259,246144,2592919,3695.000000,東南C-2-1/C-1型 方向牌,東南C-2-1/C-1型 方向牌,Milestone,3695.479980,121,122
東2.4K,24,2024-08-11 09:04:09,23.439040,120.963430,246263,2592901,3710.000000,,,Milestone,3709.879883,,
