類型,代號或代碼,經度,緯度,距離指示1,距離指示2,距離指示3,距離指示4,照片名稱,WGS84-X,WGS84-Y,參考sheet名稱
D-8型 公告及警告牌,圓D-8-1,120.954572,23.466958,小心落石,,,,001 D-8型 公告及警告牌,245359 ,2596002 ,圓峰山屋
C-3型 里程柱,圓C-3-1,120.95487,23.46587,←排雲山莊1.0K→圓峰山屋1.2K,,,,002 C-3型 里程柱,245359 ,2596002 ,圓峰山屋
D-8型 公告及警告牌,圓D-8-2,120.95453,23.464262,小心落石,,,,003 D-8型 公告及警告牌,245355 ,2595703 ,圓峰山屋
 公告及警告牌,圓其他-1,120.954291,23.463274,雨量計平台,,,,004  公告及警告牌,245330 ,2595594 ,圓峰山屋
C-3型 里程柱,圓C-3-2,120.95482,23.4617,←排雲山莊1.5K→圓峰山屋0.7K,,,,005 C-3型 里程柱,245384,2595420,圓峰山屋
D-8型 公告及警告牌,圓D-8-3,120.954868,23.461227,碎石路段請小心,,,,006 D-8型 公告及警告牌,245389 ,2595367 ,圓峰山屋
D-8型 公告及警告牌,圓D-8-4,120.954521,23.4606,小心落石,,,,007 D-8型 公告及警告牌,245354 ,2595298 ,圓峰山屋
D-8型 公告及警告牌,圓D-8-5,120.954416,23.460503,斷崖小心通行,,,,008 D-8型 公告及警告牌,245343 ,2595287 ,圓峰山屋
D-8型 公告及警告牌,圓D-8-6,120.95366,23.459233,斷崖小心通行,,,,009 D-8型 公告及警告牌,245266 ,2595146 ,圓峰山屋
C-1型 方向牌,圓C-1-1,120.95368,23.45908,"←圓峰山屋0.3K
→排雲山莊1.9K",,,,010 C-1型 方向牌,245268,2595130,圓峰山屋
 防迷桿,圓其他-2,120.953674,23.459102,,,,,011  防迷桿,245267 ,2595132 ,圓峰山屋
 防迷桿,圓其他-3,120.953672,23.45901,,,,,012  防迷桿,245267 ,2595122 ,圓峰山屋
 防迷桿,圓其他-4,120.953631,23.458921,,,,,013  防迷桿,245263 ,2595112 ,圓峰山屋
 防迷桿,圓其他-5,120.953687,23.458843,,,,,014  防迷桿,245269 ,2595103 ,圓峰山屋
 防迷桿,圓其他-6,120.953728,23.458768,,,,,015  防迷桿,245273 ,2595095 ,圓峰山屋
 防迷桿,圓其他-7,120.953774,23.458704,,,,,016  防迷桿,245277 ,2595088 ,圓峰山屋
 防迷桿,圓其他-8,120.953818,23.458641,,,,,017  防迷桿,245282 ,2595081 ,圓峰山屋
 防迷桿,圓其他-9,120.953926,23.458503,,,,,018  防迷桿,245293 ,2595066 ,圓峰山屋
 防迷桿,圓其他-10,120.953959,23.458427,,,,,019  防迷桿,245296 ,2595057 ,圓峰山屋
 防迷桿,圓其他-11,120.954062,23.458342,,,,,020  防迷桿,245307 ,2595048 ,圓峰山屋
 防迷桿,圓其他-12,120.95419,23.458209,,,,,021  防迷桿,245320 ,2595033 ,圓峰山屋
C-3型 里程柱,圓C-3-3,120.95434,23.45803,←排雲山莊2.0K→圓峰山屋0.2K,,,,022 C-3型 里程柱,245335,2595013,圓峰山屋
 防迷桿,圓其他-13,120.954351,23.458124,,,,,023  防迷桿,245336 ,2595024 ,圓峰山屋
 防迷桿,圓其他-14,120.954456,23.458121,,,,,024  防迷桿,245347 ,2595023 ,圓峰山屋
 防迷桿,圓其他-15,120.954498,23.45801,,,,,025  防迷桿,245351 ,2595011 ,圓峰山屋
 防迷桿,圓其他-16,120.954526,23.457799,,,,,026  防迷桿,245354 ,2594988 ,圓峰山屋
 防迷桿,圓其他-17,120.954586,23.457664,,,,,027  防迷桿,245360 ,2594973 ,圓峰山屋
 防迷桿,圓其他-18,120.954608,23.45752,,,,,028  防迷桿,245363 ,2594957 ,圓峰山屋
 防迷桿,圓其他-19,120.954623,23.45746,,,,,029  防迷桿,245364 ,2594950 ,圓峰山屋
 公告及警告牌,圓D-3-1,120.954814,23.457377,圓峰營地；營地使用規則；營一,,,,030  公告及警告牌,245384 ,2594941 ,圓峰山屋
 防迷桿,圓其他-20,120.954834,23.45728,,,,,031  防迷桿,245386 ,2594930 ,圓峰山屋
 防迷桿,圓其他-21,120.954885,23.457083,,,,,032  防迷桿,245391 ,2594908 ,圓峰山屋
D-3型 公告及警告牌,圓D-3-2,120.954987,23.457131,營二,,,,033 D-3型 公告及警告牌,245401 ,2594914 ,圓峰山屋
D-3型 公告及警告牌,圓D-3-3,120.954987,23.457131,營三,,,,034 D-3型 公告及警告牌,245401 ,2594914 ,圓峰山屋
A-1型 導覽牌,圓A-1-1,120.954854,23.456822,玉山主、群峰路線圖,,,,035 A-1型 導覽牌,245388 ,2594879 ,圓峰山屋
D-2型 公告及警告牌,圓D-2-1,120.954846,23.456768,請保護水源環境；圓峰山屋；座標定位；通訊點；野地如廁守則；登山小提醒,,,,036 D-2型 公告及警告牌,245387 ,2594873 ,圓峰山屋
特殊型 方向牌,圓其他-22,120.954846,23.456768,請山友使用簡易廁所→,,,,037 特殊型 方向牌,245387 ,2594873 ,圓峰山屋
C-1型 方向牌,圓C-1-2,120.95485,23.45666,"南玉山5.5k→
南峰1.7k→
←排雲山莊2.2k",,,,038 C-1型 方向牌,245387,2594861,圓峰山屋
 方向牌,圓C-1-3,120.954846,23.456768,"簡易廁所30m→
←圓峰山屋30m",,,,039  方向牌,245387 ,2594873 ,圓峰山屋
C-1型 方向牌,圓C-1-4,120.954846,23.456768,←廁所,,,,040 C-1型 方向牌,245387 ,2594873 ,圓峰山屋
C-1型 里程柱,南玉C-1-1,120.95435,23.44852,"←南玉山4.5k 
→圓峰山屋1.0k",,,,041 C-1型 里程柱,245336,2593960,南玉山
C-1型 方向牌,南玉C-1-2,120.95323,23.44723,"南玉山4.2km→ 
←圓峰山屋1.3km",,,,042 C-1型 方向牌,245221,2593817,南玉山
F-2型 指引標誌,南玉F-2-2,120.953315,23.447504,,,,,043 F-2型 指引標誌,245230 ,2593848 ,南玉山
C-3型 里程柱,南玉C-3-1,120.95172,23.44678,"←南玉山4.0k 
→圓峰山屋1.5k",,,,044 C-3型 里程柱,245067,2593767,南玉山
F-2型 指引標誌,南玉F-2-3,120.951856,23.447117,,,,,045 F-2型 指引標誌,245081 ,2593805 ,南玉山
C-3型 里程柱,南玉C-3-2,120.94795,23.44519,"←南玉山3.5k 
→圓峰山屋2.0k",,,,046 C-3型 里程柱,244682,2593592,南玉山
C-3型 里程柱,南玉C-3-3,120.94463,23.44229,"←南玉山3.0k 
→圓峰山屋2.5k",,,,047 C-3型 里程柱,244343,2593271,南玉山
C-1型 方向牌,南玉C-1-3,120.94145,23.44347,"圓峰山屋2.9km→ 
←南玉山2.6k",,,,048 C-1型 方向牌,244018,2593401,南玉山
C-3型_x000D_ 里程柱,南玉C-3-4,120.94042,23.44279,"←南玉山2.5k 
→圓峰山屋3.0k",,,,049 C-3型 里程柱,243912,2593326,南玉山
C-1型 方向牌,南玉C-1-4,120.93718,23.43981,"小南山→ 
圓峰山屋3.5k
南玉山2.0k",,,,050 C-1型 方向牌,243581,2592996,南玉山
C-3型 里程柱,南玉C-3-6,120.9343,23.43734,"←南玉山1.5k 
→圓峰山屋4.0k",,,,051 C-3型 里程柱,243287,2592723,南玉山
C-3型 里程柱,南玉C-3-7,120.93078,23.43524,"←南玉山1.0k 
→圓峰山屋4.5k",,,,052 C-3型 里程柱,242927,2592490,南玉山
C-3型 里程柱,南玉C-3-8,120.92738,23.43206,"←南玉山0.5k 
→圓峰山屋5.0k",,,,053 C-3型 里程柱,242579,2592138,南玉山
F-1型 指引標誌,南玉F-1-1,120.926978,23.430628,,,,,054 F-1型 指引標誌,242538 ,2591980 ,南玉山
 手舉牌,南玉E-1-2,120.924936,23.429283,南玉山3379公尺,,,,055  手舉牌,242330 ,2591831 ,南玉山
 公告及警告牌,南D-8-1,120.955569,23.454723,玉山後四峰為非經常維護步道，請小心注意安全,,,,056  公告及警告牌,245461 ,2594647 ,南峰
C-3型 里程柱,南C-3-1,120.95517,23.45253,"←圓峰山屋0.5k 
→東小南1.9k",,,,057 C-3型 里程柱,245420,2594404,南峰
C-1型 方向牌,南C-1-1,120.95525,23.45022,"→圓峰山屋0.8k 
←東小南山1.6k
南玉山4.7k→",,,,058 C-1型 方向牌,245428,2594148,南峰
C-1型 方向牌,南C-2-1,120.95517,23.44858,"←圓峰山屋1.0k 
→東小南1.4k",,,,059 C-1型 方向牌,245420,2593967,南峰
F-1型 指引標誌,南F-1-1,120.955692,23.448276,,,,,060 F-1型 指引標誌,245473 ,2593933 ,南峰
F-1型 指引標誌,南F-1-2,120.955857,23.447986,,,,,061 F-1型 指引標誌,245490 ,2593901 ,南峰
F-1型 指引標誌,南F-1-3,120.9569,23.447557,,,,,062 F-1型 指引標誌,245596 ,2593853 ,南峰
F-1型 指引標誌,南F-1-4,120.957378,23.447038,,,,,063 F-1型 指引標誌,245645 ,2593796 ,南峰
F-1型 指引標誌,南F-1-5,120.957522,23.4469,,,,,064 F-1型 指引標誌,245660 ,2593781 ,南峰
F-2型 指引標誌,南F-2-1,120.957497,23.44681,,,,,065 F-2型 指引標誌,245657 ,2593771 ,南峰
C-3型 里程柱,南C-2-2,120.95747,23.44658,圓峰山屋1.4k→,,,,066 C-3型 里程柱,245655,2593745,南峰
F-1型 指引標誌,南F-1-6,120.957486,23.446723,,,,,067 F-1型 指引標誌,245656 ,2593761 ,南峰
F-1型 指引標誌,南F-1-7,120.957508,23.446712,,,,,068 F-1型 指引標誌,245659 ,2593760 ,南峰
D-8型 公告及警告牌,南D-8-2,120.957696,23.446573,斷崖小心通行,,,,069 D-8型 公告及警告牌,245678 ,2593744 ,南峰
F-1型 指引標誌,南F-1-8,120.95774,23.446551,,,,,070 F-1型 指引標誌,245682 ,2593742 ,南峰
F-1型 指引標誌,南F-1-9,120.957808,23.446631,,,,,071 F-1型 指引標誌,245689 ,2593751 ,南峰
F-2型 指引標誌,南F-2-2,120.958031,23.446592,,,,,072 F-2型 指引標誌,245712 ,2593746 ,南峰
F-2型 指引標誌,南F-2-3,120.958257,23.446438,,,,,073 F-2型 指引標誌,245735 ,2593729 ,南峰
F-2型 指引標誌,南F-2-4,120.958382,23.446415,,,,,074 F-2型 指引標誌,245748 ,2593727 ,南峰
F-2型 指引標誌,南F-2-5,120.958636,23.446365,,,,,075 F-2型 指引標誌,245774 ,2593721 ,南峰
 玉山南峰3852公尺,南E-1-1,120.9589,23.44658,手舉牌,,,,076  玉山南峰3852公尺,245801 ,2593745 ,南峰
F-2型 指引標誌,南F-2-6,120.95831,23.44609,,,,,077 F-2型 指引標誌,245740 ,2593691 ,南峰
D-8型 公告及警告牌,南D-8-3,120.9582,23.44579,斷崖小心通行,,,,078 D-8型 公告及警告牌,245729 ,2593658 ,南峰
C-1型 方向牌,南C-1-3,120.9583,23.4456,"←東小南山0.9K
南峰0.2k→
圓峰山屋1.5K→
←鹿山",,,,079 C-1型 方向牌,245739,2593637,南峰
F-2型 指引標誌,東南F-2-1,120.95851,23.44514,,,,,080 F-2型 指引標誌,245761 ,2593586 ,東小南
C-3型 里程柱,東南C-3-1,120.95971,23.44153,"←圓峰山屋2.0k 
→東小南0.4k",,,,081 C-3型 里程柱,245883,2593186,東小南
C-1型 方向牌,東南C-2-1,120.96223,23.43916,"圓峰山屋2.3k→
←東小南山0.1k
←鹿山",,,,082 C-1型 方向牌,246141,2592923,東小南
 手舉牌,東南E-1-1,120.96343,23.43904,東小南山3711公尺,,,,083  手舉牌,246263 ,2592910 ,東小南
C-1型 方向牌,東南C-1-2,120.96129,23.44423,"鹿山
東小南山
南玉山",,,,084 C-1型 方向牌,246045,2593485,東小南
F-1型 指引標誌,鹿F-1-1,120.95996,23.44507,,,,,085 F-1型 指引標誌,245909 ,2593578 ,鹿山
F-1型 指引標誌,鹿F-1-2,120.9602,23.44486,,,,,086 F-1型 指引標誌,245933 ,2593555 ,鹿山
C-1型 方向牌,鹿C-1-1,120.96089,23.44474,"→排雲山莊4.4k 
←東小南山
鹿山3.6k→",,,,087 C-1型 方向牌,246004,2593541,鹿山
C-1型 方向牌,鹿C-2-1,120.96219,23.44533,"圓峰山屋
鹿山
東小南山",,,,088 C-1型 方向牌,246137,2593607,鹿山
C-3型 里程柱,鹿C-3-1,120.96328,23.44605,"→鹿山3.2
←排雲山莊4.8 ",,,,089 C-3型 里程柱,246248,2593686,鹿山
F-1型 指引標誌,鹿F-1-3,120.96628,23.44738,,,,,090 F-1型 指引標誌,246555 ,2593833 ,鹿山
C-3型 里程柱,鹿C-3-2,120.96632,23.44739,"→鹿山2.7
←排雲山莊5.3 ",,,,091 C-3型 里程柱,246559,2593835,鹿山
C-3型 里程柱,鹿C-3-3,120.96972,23.44823,"→鹿山2.2
←排雲山莊5.8 ",,,,092 C-3型 里程柱,246906,2593927,鹿山
F-2型 指引標誌,鹿F-2-1,120.97095,23.44897,,,,,093 F-2型 指引標誌,247032 ,2594009 ,鹿山
F-1型 指引標誌,鹿F-1-4,120.97203,23.44861,,,,,094 F-1型 指引標誌,247142 ,2593970 ,鹿山
C-3型 里程柱,鹿C-3-4,120.97306,23.4485,"→鹿山1.7
←排雲山莊6.3 ",,,,095 C-3型 里程柱,247248,2593957,鹿山
C-3型 里程柱,鹿C-3-5,120.97689,23.44932,"→鹿山1.2
←排雲山莊6.8 ",,,,096 C-3型 里程柱,247639,2594048,鹿山
